id;doc_type;doc_storage;created_date;modified_date
1;Enterprise-wide Division Wyoming;quantify Toys Ergonomic Granite Pants;2019-07-22;2019-07-22
2;target primary;withdrawal navigating;2019-07-22;2019-07-22
3;web services teal sky blue;executive;2019-07-22;2019-07-22
4;motivating project;reinvent Human;2019-07-22;2019-07-22
5;Ridge;back-end methodology;2019-07-22;2019-07-22
6;Product Chips Avon;green Pants;2019-07-22;2019-07-22
7;hacking help-desk;Personal Loan Account Refined RAM;2019-07-22;2019-07-22
8;toolset Administrator;Liaison Saint Helena Pound;2019-07-22;2019-07-22
9;Agent;systems Keyboard Clothing;2019-07-22;2019-07-22
10;Clothing programming;Fantastic;2019-07-22;2019-07-22
